Sales,Stock Remaining (%),Avg_consumption Rate (%),Price,AVC,Category,Label
93,0.07,0.75,13.55,5.15,Salad,0
100,0.0,1.0,8.85,3.92,Dessert,0
81,0.19,0.77,17.73,7.54,Pasta,0
100,0.0,0.99,45.11,24.98,Fish,0
99,0.01,0.88,19.97,6.71,Salad,0
88,0.12,0.73,16.61,7.68,Salad,0
100,0.0,0.9,19.71,11.77,Fish,0
87,0.13,0.96,10.73,6.27,Salad,0
71,0.29,0.9,16.39,9.18,Fish,0
83,0.17,0.89,34.63,17.1,Fish,0
100,0.0,0.99,11.67,4.33,Salad,0
89,0.11,0.66,16.87,6.21,Pasta,0
91,0.09,0.75,11.76,3.55,Salad,0
80,0.2,0.86,5.64,2.57,Dessert,0
86,0.14,0.93,28.32,9.08,Fish,0
88,0.12,0.85,13.02,7.73,Salad,0
77,0.23,0.96,20.85,8.2,Meat,0
100,0.0,0.82,48.61,16.88,Fish,0
79,0.21,0.67,18.51,6.73,Fish,0
77,0.23,0.9,10.1,4.24,Salad,0
76,0.24,0.89,19.09,10.93,Pasta,0
85,0.15,0.84,24.74,9.96,Pasta,0
83,0.17,0.77,27.03,10.52,Meat,0
86,0.14,0.76,44.35,24.72,Meat,0
89,0.11,0.83,46.98,16.37,Fish,0
99,0.01,0.95,31.17,14.93,Fish,0
100,0.0,0.92,17.52,9.51,Salad,0
66,0.34,0.77,26.92,12.61,Fish,0
94,0.06,0.9,45.96,23.06,Meat,0
97,0.03,0.68,19.42,11.04,Pasta,0
97,0.03,0.96,10.85,5.28,Salad,0
89,0.11,0.77,14.86,5.8,Fish,0
69,0.31,0.86,5.74,2.7,Dessert,0
96,0.04,0.96,40.71,18.94,Fish,0
69,0.31,0.9,8.42,3.56,Dessert,0
96,0.04,0.9,33.31,17.72,Meat,0
59,0.41,0.78,40.93,16.75,Meat,0
94,0.06,0.77,9.15,4.16,Dessert,0
96,0.04,0.74,31.31,9.82,Meat,0
94,0.06,0.67,14.09,7.81,Salad,0
86,0.14,0.87,9.65,4.63,Dessert,0
84,0.16,0.82,9.14,4.65,Dessert,0
89,0.11,0.75,18.41,5.71,Fish,0
94,0.06,0.81,31.79,16.5,Meat,0
99,0.01,0.81,5.96,2.15,Dessert,0
100,0.0,0.92,6.22,2.77,Dessert,0
100,0.0,0.92,17.72,5.85,Salad,0
96,0.04,0.96,15.89,8.09,Fish,0
73,0.27,0.66,16.72,7.99,Pasta,0
100,0.0,0.76,9.18,3.59,Dessert,0
100,0.0,0.86,35.03,14.07,Meat,0
98,0.02,0.7,9.96,3.9,Dessert,0
90,0.1,0.9,11.85,6.46,Salad,0
79,0.21,0.65,31.63,16.11,Fish,0
100,0.0,0.9,25.48,15.04,Fish,0
88,0.12,0.91,48.32,14.99,Fish,0
78,0.22,0.7,40.29,18.17,Fish,0
99,0.01,0.85,19.25,10.92,Salad,0
78,0.22,0.76,17.52,9.47,Salad,0
100,0.0,0.96,17.52,5.43,Meat,0
60,0.4,0.66,21.38,8.49,Pasta,0
95,0.05,0.81,36.01,13.08,Meat,0
95,0.05,0.94,15.2,8.79,Fish,0
86,0.14,0.75,10.0,4.58,Dessert,0
